fecha,valordemanda
2011-01-01,605986.216
2011-01-02,641856.087
2011-01-03,801297.365
2011-01-04,833253.263
2011-01-05,803475.573
2011-01-06,659165.544
2011-01-07,745349.064
2011-01-08,714197.404
2011-01-09,676565.531
2011-01-10,825093.665
2011-01-11,839408.056
2011-01-12,831748.884
2011-01-13,831676.727
2011-01-14,828355.713
2011-01-15,740276.289
2011-01-16,690529.488
2011-01-17,833383.099
2011-01-18,854014.7
2011-01-19,852744.069
2011-01-20,848133.382
2011-01-21,869535.482
2011-01-22,811255.532
2011-01-23,762605.016
2011-01-24,909269.563
2011-01-25,925838.099
2011-01-26,922889.323
2011-01-27,908662.717
2011-01-28,893973.743
2011-01-29,789680.817
2011-01-30,731642.467
2011-01-31,884108.526
2011-02-01,896370.497
2011-02-02,888988.986
2011-02-03,880048.047
2011-02-04,863200.218
2011-02-05,764264.785
2011-02-06,695026.27
2011-02-07,833539.78
2011-02-08,857808.774
2011-02-09,854895.852
2011-02-10,847728.901
2011-02-11,840675.961
2011-02-12,749056.057
2011-02-13,693923.146
2011-02-14,837839.789
2011-02-15,867723.489
2011-02-16,862550.519
2011-02-17,867483.546
2011-02-18,844064.852
2011-02-19,753137.634
2011-02-20,678337.36
2011-02-21,813126.936
2011-02-22,813497.635
2011-02-23,792264.423
2011-02-24,790552.849
2011-02-25,780618.433
2011-02-26,698188.612
2011-02-27,643617.356
2011-02-28,786009.348
2011-03-01,838913.4
2011-03-02,857398.479
2011-03-03,872249.28
2011-03-04,872085.294
2011-03-05,751944.163
2011-03-06,678996.841
2011-03-07,798628.543
2011-03-08,826503.957
2011-03-09,837593.548
2011-03-10,826068.364
2011-03-11,830681.753
2011-03-12,735543.312
2011-03-13,660604.3
2011-03-14,806162.853
2011-03-15,820875.804
2011-03-16,821400.582
2011-03-17,796021.078
2011-03-18,774556.089
2011-03-19,672318.077
2011-03-20,620385.244
2011-03-21,761076.573
2011-03-22,786184.475
2011-03-23,800892.353
2011-03-24,795389.835
2011-03-25,778606.729
2011-03-26,686670.255
2011-03-27,605054.689
2011-03-28,755234.322
2011-03-29,769209.51
2011-03-30,769475.568
2011-03-31,753622.173
2011-04-01,739283.981
2011-04-02,651742.878
2011-04-03,605901.255
2011-04-04,724924.426
2011-04-05,736422.05
2011-04-06,739279.772
2011-04-07,732198.394
2011-04-08,735235.101
2011-04-09,648442.801
2011-04-10,592949.064
2011-04-11,717889.055
2011-04-12,734044.366
2011-04-13,730789.487
2011-04-14,733161.827
2011-04-15,732740.61
2011-04-16,654129.791
2011-04-17,588087.302
2011-04-18,699179.737
2011-04-19,714249.565
2011-04-20,699445.683
2011-04-21,603833.295
2011-04-22,557697.103
2011-04-23,581223.342
2011-04-24,552420.85
2011-04-25,621969.817
2011-04-26,699876.264
2011-04-27,712548.893
2011-04-28,714337.589
2011-04-29,718151.427
2011-04-30,636041.637
2011-05-01,553106.089
2011-05-02,638821.664
2011-05-03,713170.701
2011-05-04,723353.98
2011-05-05,726615.302
2011-05-06,721232.78
2011-05-07,643463.79
2011-05-08,577050.678
2011-05-09,706545.974
2011-05-10,728325.277
2011-05-11,732314.727
2011-05-12,732970.106
2011-05-13,729702.823
2011-05-14,657056.703
2011-05-15,582278.371
2011-05-16,703877.906
2011-05-17,720286.735
2011-05-18,733284.81
2011-05-19,730295.799
2011-05-20,718021.058
2011-05-21,642166.588
