fecha,temperaturamedia,temperaturamaxmedia,temperaturaminmedia,precipitacionesmedia,horassolmedia,rachamedia,vientovelmedia,humedadrelmedia,humedadrelmaxmedia,humedadrelminmedia,presionmaxmedia,presionminmedia
2011-01-01,9.304666666666668,12.577161862527717,6.0440000000000005,0.5432801822323462,2.2035714285714287,5.622408963585435,1.5112328767123289,86.44063926940639,96.56459330143541,73.04066985645933,964.0009174311928,961.3660550458715
2011-01-02,8.518444444444444,12.329333333333333,4.714222222222222,0.3672645739910314,3.4535714285714287,7.271030640668524,2.0383783783783787,81.71004566210046,95.11483253588517,65.94976076555024,962.2917431192661,959.9073394495413
2011-01-03,6.320088300220751,10.378145695364239,2.261147902869757,1.0675555555555556,4.641935483870968,6.059888579387187,1.5211382113821137,81.7687074829932,94.56635071090048,64.88625592417061,964.9705357142857,962.250892857143
2011-01-04,7.561640798226165,11.544124168514411,3.5829268292682928,3.827293064876957,3.025,6.60672268907563,1.7589812332439678,84.78,95.12826603325416,70.97862232779097,963.186607142857,958.5830357142858
2011-01-05,10.03370288248337,13.366740576496673,6.693805309734513,4.850225225225225,2.4825396825396826,9.755013550135502,2.8672922252010724,83.42567567567568,94.47380952380952,71.86190476190477,960.3027027027027,956.000900900901
2011-01-06,12.588691796008868,15.738274336283185,9.444345898004434,7.577551020408163,2.8131147540983608,11.767027027027028,3.7179144385026737,80.53707865168539,92.27553444180522,66.812351543943,957.9758928571429,955.6508928571428
2011-01-07,11.918322295805739,14.756167400881058,9.088741721854305,4.243792325056433,2.890322580645161,12.436043360433603,3.683244680851064,76.02237136465324,90.73113207547169,60.14622641509434,961.0078947368421,956.2561403508772
2011-01-08,11.40308370044053,14.994052863436124,7.814096916299559,5.310290827740491,3.863793103448276,12.861246612466125,3.6488,75.16331096196868,91.03066037735849,59.0872641509434,962.1447368421053,957.6614035087719
2011-01-09,8.960753880266076,12.397782705099777,5.518181818181818,1.809255079006772,3.3,8.900552486187845,2.157712765957447,83.36241610738254,94.8812351543943,66.6627078384798,966.0429824561403,960.9842105263158
2011-01-10,7.647098214285714,11.81607142857143,3.474776785714286,1.6782805429864252,4.64375,9.002754820936639,2.4485333333333337,80.55855855855856,94.46634615384616,63.93990384615385,966.4,962.6557522123894
2011-01-11,10.637500000000001,14.236160714285715,7.045758928571429,1.1585034013605442,4.131746031746032,11.363911845730028,3.433333333333333,81.25393258426966,94.1826923076923,66.93028846153847,969.5454545454545,963.8845454545454
2011-01-12,11.031485587583148,15.212860310421286,6.846341463414634,0.09507829977628636,5.61875,7.7797222222222215,2.0868279569892474,81.30474040632055,94.38516746411483,65.86363636363636,972.4228070175438,969.3859649122807
2011-01-13,10.551203501094092,15.76652078774617,5.337855579868709,0.034934497816593885,6.298461538461538,5.890027700831025,1.5618666666666667,79.40715883668904,94.75764705882352,59.87764705882353,971.3139130434784,966.244347826087
2011-01-14,10.168791208791209,15.801758241758241,4.52967032967033,0.04644444444444444,6.677966101694915,6.028969359331477,1.6005434782608696,77.86818181818182,94.3175355450237,56.71090047393365,970.5973451327434,966.3141592920354
2011-01-15,9.575938189845473,14.992935982339956,4.165418502202643,0.02427616926503341,6.628571428571428,6.62986301369863,1.8051912568306012,77.4760820045558,94.381861575179,56.985680190930786,971.8185840707964,968.9070796460177
2011-01-16,9.188962472406182,14.203524229074889,4.183664459161148,0.7187919463087249,5.8,6.853314917127072,1.8580645161290323,77.78054298642535,93.14726840855107,59.11401425178147,971.6570175438596,969.2105263157895
2011-01-17,9.404175824175823,14.085714285714285,4.717142857142858,0.7736607142857144,4.5109375,6.434710743801653,1.5764075067024128,80.22799097065463,94.45283018867924,62.14858490566038,973.7034188034188,970.7384615384615
2011-01-18,8.61019955654102,12.221951219512196,4.999556541019956,0.9762863534675614,2.8415384615384616,5.727777777777778,1.5064864864864864,83.76537585421413,95.31190476190476,69.68809523809524,973.6728070175438,969.9517543859649
2011-01-19,8.714412416851442,12.09268292682927,5.337028824833703,0.2551801801801802,3.1203125,6.177272727272728,1.7239130434782608,83.40546697038724,95.17942583732058,69.71291866028709,968.9821428571429,966.032142857143
2011-01-20,7.622075055187638,12.265562913907285,2.986092715231788,0.35413870246085016,5.6546875,8.33526170798898,2.193029490616622,75.61467889908256,94.97613365155131,51.56563245823389,968.7327433628319,965.5973451327434
2011-01-21,4.645175438596491,8.721710526315789,0.5668859649122807,0.23525498891352548,7.733333333333333,11.740217391304347,3.7074666666666665,57.731818181818184,83.17176470588235,38.69647058823529,969.5643478260869,966.9408695652173
2011-01-22,3.018061674008811,7.30352422907489,-1.25978021978022,0.40931263858093125,6.563793103448275,11.431903485254693,3.5417553191489364,56.45977011494253,77.98823529411764,39.22352941176471,967.8,963.2298245614035
2011-01-23,2.7879120879120878,6.975877192982456,-1.3925274725274726,1.3419068736141908,5.391379310344828,10.34320652173913,3.0328,64.61363636363636,84.66823529411765,45.95294117647059,964.5391304347826,962.3105263157894
2011-01-24,3.975831485587583,8.793569844789356,-0.8441241685144124,1.2330357142857142,6.3671875,9.268131868131867,2.907008086253369,64.99770642201835,84.56801909307876,47.68973747016707,964.6778761061947,961.741592920354
2011-01-25,4.586504424778761,9.396909492273732,-0.21814159292035398,0.7731111111111111,5.4796875,8.374794520547946,2.5717391304347825,70.38636363636364,88.3890214797136,53.28809523809524,964.3754385964912,959.7859649122807
2011-01-26,4.650442477876106,9.40862831858407,-0.10641592920353983,2.6087837837837835,3.948387096774194,7.643013698630137,2.171774193548387,74.32118451025057,92.39285714285714,56.12380952380953,960.2345132743363,947.4486725663717
